event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous
9,,Sweden - New Year's Day,2019-01-01 00:00:00,Sweden,SEK,Holiday,,,
9,,Denmark - New Year's Day,2019-01-01 00:00:00,Denmark,DKK,Holiday,,,
9,,Norway - New Year's Day,2019-01-01 00:00:00,Norway,NOK,Holiday,,,
9,,Finland - New Year's Day,2019-01-01 00:00:00,Finland,EUR,Holiday,,,
9,,Colombia - New Year's Day,2019-01-01 00:00:00,Colombia,COP,Holiday,,,
562,,Serbia - New Year,2019-01-01 00:00:00,Serbia,RSD,Holiday,,,
9,,New Zealand - New Year's Day,2019-01-01 00:00:00,New Zealand,NZD,Holiday,,,
562,,Morocco - New Year,2019-01-01 00:00:00,Morocco,MAD,Holiday,,,
9,,Malaysia - New Year's Day,2019-01-01 00:00:00,Malaysia,MYR,Holiday,,,
9,,Luxembourg - New Year's Day,2019-01-01 00:00:00,Luxembourg,EUR,Holiday,,,
562,,Jordan - New Year,2019-01-01 00:00:00,Jordan,JOD,Holiday,,,
9,,Estonia - New Year's Day,2019-01-01 00:00:00,Estonia,EUR,Holiday,,,
562,,Czech Republic - New Year,2019-01-01 00:00:00,Czech Republic,CZK,Holiday,,,
9,,Botswana - New Year's Day,2019-01-01 00:00:00,Botswana,BWP,Holiday,,,
562,,Austria - New Year,2019-01-01 00:00:00,Austria,EUR,Holiday,,,
9,,Poland - New Year's Day,2019-01-01 00:00:00,Poland,PLN,Holiday,,,
9,,Spain - New Year's Day,2019-01-01 00:00:00,Spain,EUR,Holiday,,,
562,,Bosnia-Herzegovina - New Year,2019-01-01 00:00:00,Bosnia-Herzegovina,,Holiday,,,
9,,Jamaica - New Year's Day,2019-01-01 00:00:00,Jamaica,JMD,Holiday,,,
215,,Slovakia - Public Holiday,2019-01-01 00:00:00,Slovakia,EUR,Holiday,,,
435,,Slovenia - New-Year Holidays,2019-01-01 00:00:00,Slovenia,EUR,Holiday,,,
9,,Lithuania - New Year's Day,2019-01-01 00:00:00,Lithuania,EUR,Holiday,,,
9,,Latvia - New Year's Day,2019-01-01 00:00:00,Latvia,EUR,Holiday,,,
9,,Argentina - New Year's Day,2019-01-01 00:00:00,Argentina,ARS,Holiday,,,
9,,Brazil - New Year's Day,2019-01-01 00:00:00,Brazil,BRL,Holiday,,,
562,,Hungary - New Year,2019-01-01 00:00:00,Hungary,HUF,Holiday,,,
562,,China - New Year,2019-01-01 00:00:00,China,CNY,Holiday,,,
9,,Chile - New Year's Day,2019-01-01 00:00:00,Chile,CLP,Holiday,,,
9,,Indonesia - New Year's Day,2019-01-01 00:00:00,Indonesia,IDR,Holiday,,,
9,,Japan - New Year's Day,2019-01-01 00:00:00,Japan,JPY,Holiday,,,
9,,Italy - New Year's Day,2019-01-01 00:00:00,Italy,EUR,Holiday,,,
9,,Russia - New Year's Day,2019-01-01 00:00:00,Russia,RUB,Holiday,,,
9,,Ireland - New Year's Day,2019-01-01 00:00:00,Ireland,EUR,Holiday,,,
9,,Malta - New Year's Day,2019-01-01 00:00:00,Malta,EUR,Holiday,,,
9,,Germany - New Year's Day,2019-01-01 00:00:00,Germany,EUR,Holiday,,,
562,,Kazakhstan - New Year,2019-01-01 00:00:00,Kazakhstan,KZT,Holiday,,,
9,,Nigeria - New Year's Day,2019-01-01 00:00:00,Nigeria,NGN,Holiday,,,
562,,Vietnam - New Year,2019-01-01 00:00:00,Vietnam,,Holiday,,,
9,,Peru - New Year's Day,2019-01-01 00:00:00,Peru,PEN,Holiday,,,
9,,Mexico - New Year's Day,2019-01-01 00:00:00,Mexico,MXN,Holiday,,,
9,,Greece - New Year's Day,2019-01-01 00:00:00,Greece,EUR,Holiday,,,
9,,Ukraine - New Year's Day,2019-01-01 00:00:00,Ukraine,UAH,Holiday,,,
9,,Costa Rica - New Year's Day,2019-01-01 00:00:00,Costa Rica,CRC,Holiday,,,
9,,Ecuador - New Year's Day,2019-01-01 00:00:00,Ecuador,USD,Holiday,,,
9,,Cote D'Ivoire - New Year's Day,2019-01-01 00:00:00,Cote D'Ivoire,,Holiday,,,
9,,Tunisia - New Year's Day,2019-01-01 00:00:00,Tunisia,TND,Holiday,,,
9,,Uganda - New Year's Day,2019-01-01 00:00:00,Uganda,UGX,Holiday,,,
9,,Tanzania - New Year's Day,2019-01-01 00:00:00,Tanzania,TZS,Holiday,,,
9,,Rwanda - New Year's Day,2019-01-01 00:00:00,Rwanda,RWF,Holiday,,,
9,,Montenegro - New Year's Day,2019-01-01 00:00:00,Montenegro,EUR,Holiday,,,
9,,Kenya - New Year's Day,2019-01-01 00:00:00,Kenya,KES,Holiday,,,
9,,Kuwait - New Year's Day,2019-01-01 00:00:00,Kuwait,KWD,Holiday,,,
562,,Mongolia - New Year,2019-01-01 00:00:00,Mongolia,MNT,Holiday,,,
9,,Bulgaria - New Year's Day,2019-01-01 00:00:00,Bulgaria,BGN,Holiday,,,
562,,Egypt - New Year,2019-01-01 00:00:00,Egypt,EGP,Holiday,,,
562,,Palestinian Territory - New Year,2019-01-01 00:00:00,Palestinian Territory,,Holiday,,,
9,,South Africa - New Year's Day,2019-01-01 00:00:00,South Africa,ZAR,Holiday,,,
562,,Iraq - New Year,2019-01-01 00:00:00,Iraq,IQD,Holiday,,,
562,,Qatar - New Year,2019-01-01 00:00:00,Qatar,QAR,Holiday,,,
562,,Venezuela - New Year,2019-01-01 00:00:00,Venezuela,VEF,Holiday,,,
562,,Zambia - New Year,2019-01-01 00:00:00,Zambia,ZMW,Holiday,,,
9,,United Arab Emirates - New Year's Day,2019-01-01 00:00:00,United Arab Emirates,AED,Holiday,,,
378245,1316,Exports (YoY) (Dec),2019-01-01 00:00:00,South Korea,KRW,Low Volatility Expected,-1.2%,3.3%,-1.2%
378243,1291,Imports (YoY) (Dec),2019-01-01 00:00:00,South Korea,KRW,Low Volatility Expected,0.9%,4.2%,0.9%
378244,470,Trade Balance (Dec),2019-01-01 00:00:00,South Korea,KRW,Low Volatility Expected,4.56B,,4.56B
379286,514,CPI (MoM) (Dec),2019-01-01 06:00:00,Peru,PEN,Low Volatility Expected,0.18%,,0.12%
562,,Mauritius - New Year,2019-01-02 00:00:00,Mauritius,MUR,Holiday,,,
9,,Romania - New Year's Day,2019-01-02 00:00:00,Romania,RON,Holiday,,,
303,,Switzerland - Berchtold's Day,2019-01-02 00:00:00,Switzerland,CHF,Holiday,,,
562,,Serbia - New Year,2019-01-02 00:00:00,Serbia,RSD,Holiday,,,
565,,New Zealand -  Day After New Year's,2019-01-02 00:00:00,New Zealand,NZD,Holiday,,,
215,,Botswana - Public Holiday,2019-01-02 00:00:00,Botswana,BWP,Holiday,,,
562,,Bosnia-Herzegovina - New Year,2019-01-02 00:00:00,Bosnia-Herzegovina,,Holiday,,,
435,,Slovenia - New-Year Holidays,2019-01-02 00:00:00,Slovenia,EUR,Holiday,,,
9,,Russia - New Year's Day,2019-01-02 00:00:00,Russia,RUB,Holiday,,,
9,,Malta - New Year's Day,2019-01-02 00:00:00,Malta,EUR,Holiday,,,
562,,Kazakhstan - New Year,2019-01-02 00:00:00,Kazakhstan,KZT,Holiday,,,
565,,Rwanda -  Day After New Year's,2019-01-02 00:00:00,Rwanda,RWF,Holiday,,,
565,,Montenegro -  Day After New Year's,2019-01-02 00:00:00,Montenegro,EUR,Holiday,,,
9,,Ukraine - New Year's Day,2019-01-02 00:00:00,Ukraine,UAH,Holiday,,,
208,,Japan - Exchange Holiday,2019-01-02 00:00:00,Japan,JPY,Holiday,,,
382049,1838,Manufacturing PMI,2019-01-02 00:00:00,Australia,AUD,Low Volatility Expected,54.0,53.7,53.7
379069,1077,GDP (QoQ) (Q4),2019-01-02 00:00:00,Singapore,SGD,Low Volatility Expected,1.6%,2.9%,3.5%
379068,511,GDP (YoY) (Q4),2019-01-02 00:00:00,Singapore,SGD,Low Volatility Expected,2.2%,2.7%,2.3%
378250,785,Nikkei Manufacturing PMI (Dec),2019-01-02 00:30:00,South Korea,KRW,Low Volatility Expected,49.8,,48.6
378251,1580,URA Property Index (QoQ) (Q4),2019-01-02 00:30:00,Singapore,SGD,Low Volatility Expected,-0.10%,,-0.10%
386772,1862,Philippines Nikkei Manufacturing PMI,2019-01-02 00:30:00,Philippines,PHP,Low Volatility Expected,53.2,,54.2
378252,1121,Manufacturing PMI (Dec),2019-01-02 00:30:00,Taiwan,TWD,Low Volatility Expected,47.70,,48.40
378253,1096,Nikkei Manufacturing PMI (Dec),2019-01-02 00:30:00,Indonesia,IDR,Low Volatility Expected,51.2,,50.4
384626,1855,Vietnamese Nikkei Manufacturing PMI,2019-01-02 00:30:00,Vietnam,VND,Low Volatility Expected,53.8,,56.5
378254,753,Caixin Manufacturing PMI (Dec),2019-01-02 01:45:00,China,CNY,High Volatility Expected,49.7,50.3,50.2
378856,1225,Core CPI (YoY) (Dec),2019-01-02 03:30:00,Thailand,THB,Low Volatility Expected,0.68%,0.70%,0.69%
378857,800,CPI (YoY) (Dec),2019-01-02 03:30:00,Thailand,THB,Moderate Volatility Expected,0.36%,0.84%,0.94%
379079,1091,Core Inflation (YoY) (Dec),2019-01-02 04:00:00,Indonesia,IDR,Moderate Volatility Expected,3.07%,3.07%,3.03%
379145,1074,Inflation (MoM) (Dec),2019-01-02 04:00:00,Indonesia,IDR,Moderate Volatility Expected,0.62%,0.48%,0.27%
379144,778,Inflation (YoY) (Dec),2019-01-02 04:00:00,Indonesia,IDR,Low Volatility Expected,3.13%,2.98%,3.23%
378256,754,Nikkei Markit Manufacturing PMI (Dec),2019-01-02 05:00:00,India,INR,Low Volatility Expected,53.2,,54.0
379244,346,Commodity Prices (YoY),2019-01-02 05:30:00,Australia,AUD,Low Volatility Expected,10.5%,,13.4%
378258,1481,Irish Manufacturing PMI (Dec),2019-01-02 06:00:00,Ireland,EUR,Low Volatility Expected,54.5,,55.4
378259,1305,Manufacturing PMI (Dec),2019-01-02 07:00:00,Turkey,TRY,Low Volatility Expected,44.20,,44.70
378260,798,Manufacturing PMI (Dec),2019-01-02 07:30:00,Sweden,SEK,Low Volatility Expected,52.0,,55.4
378261,1522,Austrian Unemployment Change (Dec),2019-01-02 07:50:00,Austria,EUR,Low Volatility Expected,355.6K,,307.3K
378262,807,Austrian Unemployment Rate (Dec),2019-01-02 07:50:00,Austria,EUR,Low Volatility Expected,8.7%,,7.6%
378558,1304,Manufacturing PMI (Dec),2019-01-02 08:00:00,Poland,PLN,Low Volatility Expected,47.60,49.80,49.50
378263,642,Manufacturing PMI (Dec),2019-01-02 08:00:00,Norway,NOK,Low Volatility Expected,55.9,,56.2
378264,674,Manufacturing PMI (Dec),2019-01-02 08:00:00,Hungary,HUF,Low Volatility Expected,54.2,,53.5
378767,673,Quarterly Unemployment Rate (Nov),2019-01-02 08:00:00,Hungary,HUF,Moderate Volatility Expected,3.6%,,3.7%
378265,667,Spanish Manufacturing PMI (Dec),2019-01-02 08:15:00,Spain,EUR,Moderate Volatility Expected,51.1,52.4,52.6
378266,812,Markit PMI (Dec),2019-01-02 08:30:00,Czech Republic,CZK,Low Volatility Expected,49.7,51.4,51.8
378559,832,Italian Manufacturing PMI (Dec),2019-01-02 08:45:00,Italy,EUR,Moderate Volatility Expected,49.2,48.4,48.6
378574,340,French Manufacturing PMI (Dec),2019-01-02 08:50:00,France,EUR,Moderate Volatility Expected,49.7,49.7,49.7
378268,136,German Manufacturing PMI (Dec),2019-01-02 08:55:00,Germany,EUR,High Volatility Expected,51.5,51.5,51.5
378557,1472,Greek Manufacturing PMI (Dec),2019-01-02 09:00:00,Greece,EUR,Low Volatility Expected,53.8,,54.0
378630,201,Manufacturing PMI (Dec),2019-01-02 09:00:00,Euro Zone,EUR,Moderate Volatility Expected,51.4,51.4,51.4
378560,204,Manufacturing PMI (Dec),2019-01-02 09:30:00,United Kingdom,GBP,High Volatility Expected,54.2,52.6,53.6
379162,756,M3 Money Supply,2019-01-02 11:30:00,India,INR,Low Volatility Expected,10.2%,,10.5%
378275,1476,Markit Manufacturing PMI (Dec),2019-01-02 12:00:00,Brazil,BRL,Low Volatility Expected,52.6,,52.7
379176,655,Redbook (MoM),2019-01-02 13:55:00,United States,USD,Low Volatility Expected,0.6%,,0.1%
379175,911,Redbook (YoY),2019-01-02 13:55:00,United States,USD,Low Volatility Expected,9.3%,,7.8%
378562,1029,RBC Manufacturing PMI (Dec),2019-01-02 14:30:00,Canada,CAD,Low Volatility Expected,53.6,,54.9
379086,685,French 12-Month BTF Auction,2019-01-02 14:30:00,France,EUR,Low Volatility Expected,-0.566%,,-0.577%
379084,683,French 3-Month BTF Auction,2019-01-02 14:30:00,France,EUR,Low Volatility Expected,-0.570%,,-0.701%
379085,684,French 6-Month BTF Auction,2019-01-02 14:30:00,France,EUR,Low Volatility Expected,-0.569%,,-0.651%
379202,764,Foreign Exchange Flows,2019-01-02 14:30:00,Brazil,BRL,Low Volatility Expected,-12.756B,,-0.244B
379078,1654,GlobalDairyTrade Price Index,2019-01-02 14:30:00,New Zealand,NZD,Moderate Volatility Expected,2.8%,,1.7%
378279,829,Manufacturing PMI (Dec),2019-01-02 14:45:00,United States,USD,Moderate Volatility Expected,53.8,53.9,53.9
378282,1444,Dallas Fed Services Revenues (Dec),2019-01-02 15:30:00,United States,USD,Low Volatility Expected,10.1,,21.4
378281,1519,Texas Services Sector Outlook (Dec),2019-01-02 15:30:00,United States,USD,Low Volatility Expected,-5.0,,11.4
378563,1303,Manufacturing PMI (Dec),2019-01-02 15:30:00,Mexico,MXN,Low Volatility Expected,49.70,,49.70
378283,412,Trade Balance (Dec),2019-01-02 18:00:00,Brazil,BRL,Low Volatility Expected,6.64B,,4.06B
379246,1518,Tax Revenue,2019-01-02 20:00:00,Argentina,ARS,Low Volatility Expected,319.92B,329.30B,300.10B
208,,Japan - Exchange Holiday,2019-01-03 00:00:00,Japan,JPY,Holiday,,,
436,,Montenegro - Orthodox Christmas,2019-01-03 00:00:00,Montenegro,EUR,Holiday,,,
379382,1128,GDP (QoQ) (Q3),2019-01-03 04:35:00,Qatar,QAR,Low Volatility Expected,4.00%,,2.00%
379381,1127,GDP (YoY) (Q3),2019-01-03 04:35:00,Qatar,QAR,Low Volatility Expected,2.20%,,2.50%
378293,769,Estonian Industrial Production (MoM) (Nov),2019-01-03 06:00:00,Estonia,EUR,Low Volatility Expected,4.50%,,0.80%
378292,1168,Estonian Industrial Production (YoY) (Nov),2019-01-03 06:00:00,Estonia,EUR,Low Volatility Expected,7.80%,,1.70%
378294,638,Unemployment Rate (Oct),2019-01-03 07:00:00,Norway,NOK,Low Volatility Expected,4.0%,4.0%,4.0%
379098,611,CPI (MoM) (Dec),2019-01-03 07:00:00,Turkey,TRY,Moderate Volatility Expected,-0.40%,-0.23%,-1.44%
379097,871,CPI (YoY) (Dec),2019-01-03 07:00:00,Turkey,TRY,Moderate Volatility Expected,20.30%,20.52%,21.62%
379100,872,PPI (YoY) (Dec),2019-01-03 07:00:00,Turkey,TRY,Low Volatility Expected,33.64%,,38.54%
379099,612,PPI (MoM) (Dec),2019-01-03 07:00:00,Turkey,TRY,Low Volatility Expected,-2.22%,,-2.53%
379087,830,Spanish Unemployment Change,2019-01-03 08:00:00,Spain,EUR,Moderate Volatility Expected,-50.6K,,-1.8K
378331,797,Household Lending Growth (YoY) (Nov),2019-01-03 08:30:00,Sweden,SEK,Low Volatility Expected,5.7%,,5.8%
378329,278,procure.ch PMI (Dec),2019-01-03 08:30:00,Switzerland,CHF,Moderate Volatility Expected,57.8,57.0,54.3
378330,775,Retail Sales (YoY) (Nov),2019-01-03 08:30:00,Hong Kong,HKD,Low Volatility Expected,1.4%,,5.9%
379103,558,Spanish Consumer Confidence,2019-01-03 09:00:00,Spain,EUR,Low Volatility Expected,90.9,,91.4
378333,198,M3 Money Supply (YoY) (Nov),2019-01-03 09:00:00,Euro Zone,EUR,Low Volatility Expected,3.7%,3.8%,3.9%
379089,382,Private Sector Loans (YoY),2019-01-03 09:00:00,Euro Zone,EUR,Low Volatility Expected,3.3%,3.3%,3.2%
378572,44,Construction PMI (Dec),2019-01-03 09:30:00,United Kingdom,GBP,High Volatility Expected,52.8,52.9,53.4
379106,586,Spanish 10-Year Obligacion Auction,2019-01-03 09:40:00,Spain,EUR,Moderate Volatility Expected,1.400%,,1.456%
379104,704,Spanish 3-Year Bonos Auction,2019-01-03 09:40:00,Spain,EUR,Low Volatility Expected,-0.039%,,0.021%
379105,706,Spanish 5-Year Bonos Auction,2019-01-03 09:40:00,Spain,EUR,Low Volatility Expected,0.329%,,0.412%
378352,826,Portuguese Business Confidence (Dec),2019-01-03 11:00:00,Portugal,EUR,Low Volatility Expected,2.2,,2.3
378351,827,Portuguese Consumer Confidence (Dec),2019-01-03 11:00:00,Portugal,EUR,Low Volatility Expected,-2.20,,-1.80
379336,1487,Latvian Industrial Production (YoY) (Nov),2019-01-03 11:00:00,Latvia,EUR,Low Volatility Expected,-0.6%,,-1.9%
379335,1488,Latvian Industrial Production (MoM) (Nov),2019-01-03 11:00:00,Latvia,EUR,Low Volatility Expected,0.9%,,-1.3%
378706,1042,MBA 30-Year Mortgage Rate,2019-01-03 12:00:00,United States,USD,Low Volatility Expected,4.84%,,4.94%
378705,380,MBA Mortgage Applications (WoW),2019-01-03 12:00:00,United States,USD,Low Volatility Expected,-8.5%,,-5.8%
379211,1494,MBA Purchase Index,2019-01-03 12:00:00,United States,USD,Low Volatility Expected,219.0,,238.6
379213,1427,Mortgage Market Index,2019-01-03 12:00:00,United States,USD,Low Volatility Expected,293.8,,325.9
379212,1428,Mortgage Refinance Index,2019-01-03 12:00:00,United States,USD,Low Volatility Expected,729.9,,832.2
379245,1297,M2 Money Supply (YoY),2019-01-03 12:00:00,Egypt,EGP,Low Volatility Expected,14.04%,,15.40%
378390,888,Challenger Job Cuts (Dec),2019-01-03 12:30:00,United States,USD,Low Volatility Expected,43.9K,,53.1K
379090,333,Challenger Job Cuts (YoY),2019-01-03 12:30:00,United States,USD,Low Volatility Expected,35.3%,,53.1%
378392,792,Manufacturing PMI (Dec),2019-01-03 13:00:00,Singapore,SGD,Low Volatility Expected,51.1,,51.5
379253,1229,Budget Balance (Dec),2019-01-03 13:00:00,Czech Republic,CZK,Low Volatility Expected,2.900B,,-21.640B
378393,1,ADP Nonfarm Employment Change (Dec),2019-01-03 13:15:00,United States,USD,High Volatility Expected,271K,179K,157K
379092,522,Continuing Jobless Claims,2019-01-03 13:30:00,United States,USD,Low Volatility Expected,"1,740K",,"1,708K"
379091,294,Initial Jobless Claims,2019-01-03 13:30:00,United States,USD,High Volatility Expected,231K,220K,221K
379224,1041,Jobless Claims 4-Week Avg.,2019-01-03 13:30:00,United States,USD,Low Volatility Expected,218.75K,,219.25K
378396,661,ISM-New York Index (Dec),2019-01-03 14:45:00,United States,USD,Low Volatility Expected,848.5,,840.8
378399,1046,ISM Manufacturing Employment (Dec),2019-01-03 15:00:00,United States,USD,Moderate Volatility Expected,56.2,,58.4
378397,1483,ISM Manufacturing New Orders Index (Dec),2019-01-03 15:00:00,United States,USD,Low Volatility Expected,51.1,,62.1
378401,173,ISM Manufacturing PMI (Dec),2019-01-03 15:00:00,United States,USD,High Volatility Expected,54.3,57.7,58.8
378400,174,ISM Manufacturing Prices (Dec),2019-01-03 15:00:00,United States,USD,Low Volatility Expected,54.9,57.9,60.7
379110,1628,Monetary Policy Meeting Minutes,2019-01-03 15:00:00,Mexico,MXN,Moderate Volatility Expected,,,
378402,1318,Exports (YoY) (Nov),2019-01-03 15:00:00,Colombia,COP,Low Volatility Expected,7.90%,,15.80%
379095,567,4-Week Bill Auction,2019-01-03 16:30:00,United States,USD,Low Volatility Expected,2.390%,,2.400%
379094,1801,8-Week Bill Auction,2019-01-03 16:30:00,United States,USD,Low Volatility Expected,2.375%,,2.420%
378406,1374,Irish Exchequer Returns (Dec),2019-01-03 16:30:00,Ireland,EUR,Low Volatility Expected,0.106B,,-1.919B
378409,440,Industrial Production (YoY) (Nov),2019-01-03 19:00:00,Argentina,ARS,Moderate Volatility Expected,-13.3%,,-6.8%
379093,85,Total Vehicle Sales,2019-01-03 20:30:00,United States,USD,Low Volatility Expected,17.55M,17.35M,17.49M
379361,784,FX Reserves - USD (Dec),2019-01-03 21:00:00,South Korea,KRW,Low Volatility Expected,403.69B,,402.99B
379111,656,API Weekly Crude Oil Stock,2019-01-03 21:30:00,United States,USD,Moderate Volatility Expected,-4.500M,,6.920M
436,,Montenegro - Orthodox Christmas,2019-01-04 00:00:00,Montenegro,EUR,Holiday,,,
379112,19,BRC Shop Price Index (YoY),2019-01-04 00:00:00,United Kingdom,GBP,Low Volatility Expected,0.3%,,0.1%
382050,1839,Services PMI,2019-01-04 00:00:00,Australia,AUD,Low Volatility Expected,52.7,52.2,52.2
378412,202,Manufacturing PMI (Jan),2019-01-04 00:30:00,Japan,JPY,Low Volatility Expected,52.6,52.4,52.6
378413,1088,Manufacturing PMI (Dec),2019-01-04 00:30:00,Hong Kong,HKD,Low Volatility Expected,48.0,,47.1
379190,1108,Core CPI (YoY) (Dec),2019-01-04 01:00:00,Philippines,PHP,Low Volatility Expected,4.7%,,5.1%
379191,824,CPI (MoM) (Dec),2019-01-04 01:00:00,Philippines,PHP,Low Volatility Expected,-0.6%,,-0.2%
379192,1075,CPI (YoY) (Dec),2019-01-04 01:00:00,Philippines,PHP,Low Volatility Expected,5.1%,5.6%,6.0%
380955,543,Industrial Production (YoY),2019-01-04 01:00:00,Philippines,PHP,Low Volatility Expected,2.1%,,4.9%
378420,596,Caixin Services PMI (Dec),2019-01-04 01:45:00,China,CNY,Moderate Volatility Expected,53.9,52.9,53.8
379326,803,Consumer Confidence (Dec),2019-01-04 03:30:00,Thailand,THB,Low Volatility Expected,79.4,,80.5
378421,1103,Exports (YoY) (Nov),2019-01-04 04:00:00,Malaysia,MYR,Low Volatility Expected,1.6%,6.6%,17.7%
378423,1104,Imports (YoY) (Nov),2019-01-04 04:00:00,Malaysia,MYR,Low Volatility Expected,5.0%,3.1%,11.4%
378422,506,Trade Balance (Nov),2019-01-04 04:00:00,Malaysia,MYR,Low Volatility Expected,7.60B,11.50B,16.30B
378426,598,Nikkei Services PMI (Dec),2019-01-04 05:00:00,India,INR,Low Volatility Expected,53.2,52.5,53.7
378569,1482,Irish Services PMI (Dec),2019-01-04 06:00:00,Ireland,EUR,Low Volatility Expected,56.3,,57.1
378772,850,Nationwide HPI (YoY) (Dec),2019-01-04 07:00:00,United Kingdom,GBP,Moderate Volatility Expected,0.5%,1.5%,1.9%
378773,363,Nationwide HPI (MoM) (Dec),2019-01-04 07:00:00,United Kingdom,GBP,Moderate Volatility Expected,-0.7%,0.1%,0.4%
378428,647,Unemployment Rate (Nov),2019-01-04 07:00:00,Denmark,DKK,Low Volatility Expected,3.1%,,3.2%
378427,1562,IPC-Fipe Inflation Index (MoM) (Dec),2019-01-04 07:00:00,Brazil,BRL,Moderate Volatility Expected,0.09%,0.15%,0.15%
378429,1420,Credit Indicator (YoY) (Nov),2019-01-04 07:00:00,Norway,NOK,Low Volatility Expected,5.5%,,5.7%
378430,1282,PPI (YoY) (Nov),2019-01-04 07:00:00,Romania,RON,Low Volatility Expected,4.90%,,6.30%
378571,1478,South Africa Standard Bank PMI (Dec),2019-01-04 07:15:00,South Africa,ZAR,Low Volatility Expected,49.0,,48.2
378431,1513,Services PMI (MoM) (Dec),2019-01-04 07:30:00,Sweden,SEK,Low Volatility Expected,56.4,,61.1
379264,1399,Currency Swaps (USD),2019-01-04 07:30:00,Thailand,THB,Low Volatility Expected,33.7B,,33.0B
379265,1326,Foreign Reserves (USD),2019-01-04 07:30:00,Thailand,THB,Low Volatility Expected,205.0B,,203.6B
379113,112,French CPI (MoM),2019-01-04 07:45:00,France,EUR,Moderate Volatility Expected,0.0%,0.1%,-0.2%
379114,1759,French CPI (YoY),2019-01-04 07:45:00,France,EUR,Low Volatility Expected,1.6%,,1.9%
379116,941,French HICP (YoY),2019-01-04 07:45:00,France,EUR,Low Volatility Expected,1.9%,2.0%,2.2%
379115,940,French HICP (MoM),2019-01-04 07:45:00,France,EUR,Moderate Volatility Expected,0.1%,,-0.2%
378769,1279,PPI (YoY) (Nov),2019-01-04 08:00:00,Hungary,HUF,Low Volatility Expected,5.1%,,6.4%
378435,668,Spanish Services PMI (Dec),2019-01-04 08:15:00,Spain,EUR,Moderate Volatility Expected,54.0,53.8,54.0
378436,1120,FX Reserves USD (Dec),2019-01-04 08:20:00,Taiwan,TWD,Low Volatility Expected,461.78B,,461.38B
378437,833,Italian Services PMI (Dec),2019-01-04 08:45:00,Italy,EUR,Moderate Volatility Expected,50.5,50.2,50.3
378641,672,French Markit Composite PMI (Dec),2019-01-04 08:50:00,France,EUR,Low Volatility Expected,48.7,49.4,49.3
378642,341,French Services PMI (Dec),2019-01-04 08:50:00,France,EUR,Moderate Volatility Expected,49.0,49.6,49.6
378639,1469,German Composite PMI (Dec),2019-01-04 08:55:00,Germany,EUR,Low Volatility Expected,51.6,52.2,52.2
378640,140,German Services PMI (Dec),2019-01-04 08:55:00,Germany,EUR,Moderate Volatility Expected,51.8,52.5,52.5
378439,332,German Unemployment Change (Dec),2019-01-04 08:55:00,Germany,EUR,High Volatility Expected,-14K,-12K,-16K
