prefix,friendly_name,event_type_ids
GDP,"['GDP', 'Gross Domestic Product', 'Gross Domestic Product (GDP)']",1750 446  600  439  1853  1797  868  402  407  1072  443  507  226  879  925  120  1053  476  970  738  590  1147  419  343  113  408  451  1186  426  434  858  413  1758  1024  1025  1013  122  957 
Inflation,['Inflation'],1074 1562 
Unemployment Rate,['Unemployment Rate'],411 295  959  296  301  302  1793  297  650  556  673  142  299 
Industrial Production,['Industrial Production'],440 135  158  160  1755  161  159  414 
Labor Productivity,['Labor Productivity'],189
Factory Orders,['Factory Orders'],130 100 
ISM Non-Manufacturing Employment,['ISM Non-Manufacturing Employment'],1048
CPI,"['CPI', 'Consumer Price Index', 'Consumer Price Index (CPI)']",1063 1766  1011  293  1851  800  1192  417  406  1180  410  1165  430  643  743  459  973  736  69  1185  425  961  436  112  589  1101  727  317  928  1020  70  344  1112  1223  599  128  328  1908  873  445  178  467  871  611  71 
PMI,"['PMI', 'Purchasing Managers Index', 'Purchasing Managers Index (PMI)']",338 38  1913  831  1630  667  832  829  278  340  201  1912  596  1629  668  833  1492  1062  341  140  1491  272 
Nonfarm Productivity,['Nonfarm Productivity'],228
Unit Labor Costs,['Unit Labor Costs'],303
Private Nonfarm Payrolls,['Private Nonfarm Payrolls'],528
 speculative net positions,[' speculative net positions'],1611 1619  1615  1614 
USDA,"['USDA', 'Department of Agriculture', 'Department of Agriculture (USDA)']",1764
OPEC Monthly Report,['OPEC Monthly Report'],1673
Interest Rate,['Interest Rate'],1117 1089  1624  427  1106  415  478  604  592  447  165  444  423 
Meeting,['Meeting'],1824 1786  1817  1833  1823  1969  1643  1825  210  230  1648  1628  1804 
