event_id,event_type_id,event_name,time,country,currency,impact,actual,forecast,previous,urls,title
383580,1647.0,EU Leaders Summit,2019-03-22 10:00:00,Euro Zone,EUR,High Volatility Expected,,,,eu-leaders-summit-1647,EU Leaders Summit
384172,1815.0,UK Parliament vote on Brexit deal,2019-03-29 19:00:00,United Kingdom,GBP,High Volatility Expected,,,,uk-parliament-vote-on-brexit-deal-1815,Parliament vote on Brexit deal
384375,1850.0,UK Parliament Indicative Votes on Brexit,2019-04-01 19:00:00,United Kingdom,GBP,Moderate Volatility Expected,,,,uk-parliament-indicative-votes-on-brexit-1850,Parliament Indicative Votes on Brexit
386958,1706.0,ECB's Praet Speaks,2019-05-22 09:30:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-praet-speaks-1706,European Central Bank Praet Speaks
387174,1587.0,ECB's Nowotny Speaks,2019-05-24 08:30:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-nowotny-speaks-1587,ECB's Nowotny Speaks
387336,1840.0,European Parliament Elections,2019-05-26 10:00:00,Euro Zone,EUR,Moderate Volatility Expected,,,,european-parliament-elections-1840,European Parliament Elections
387946,1718.0,MPC Member Ramsden Speaks,2019-06-05 07:45:00,United Kingdom,GBP,Moderate Volatility Expected,,,,mpc-member-ramsden-speaks-1718,Monetary Policy Committee (MPC) Member Ramsden Speaks
388696,1728.0,BoC Gov Council Member Schembri Speaks,2019-06-17 18:30:00,Canada,CAD,Moderate Volatility Expected,,,,boc-gov-council-member-schembri-speaks-1728,Governor Council Member Schembri Speaks
386932,1649.0,Inflation Report Hearings,2019-06-26 09:15:00,United Kingdom,GBP,High Volatility Expected,,,,inflation-report-hearings-1649,Inflation Report Hearings
389344,1347.0,Current Account % of GDP,2019-06-28 15:00:00,India,INR,Low Volatility Expected,-0.70%,,-1.90%,current-account-%-of-gdp-1347,Current Account % of GDP 
389347,1242.0,Current Account,2019-06-28 15:00:00,India,INR,Low Volatility Expected,-57.100B,,-48.700B,current-account-1242,Current Account (USD)
389376,1876.0,PBOC Gov Yi speaks,2019-07-01 07:00:00,China,CNY,High Volatility Expected,,,,pboc-gov-yi-speaks-1876,s Governor Yi Gang Speaks
389515,1836.0,Fed Monetary Policy Report,2019-07-05 15:00:00,United States,USD,High Volatility Expected,,,,fed-monetary-policy-report-1836,Federal Reserve Monetary Policy Report
390538,1895.0,Winner of Conservative Leadership Announced,2019-07-23 10:45:00,United Kingdom,GBP,Moderate Volatility Expected,,,,winner-of-conservative-leadership-announced-1895,Winner of Conservative Leadership Announced
390537,1695.0,U.K. Prime Minister May Speaks,2019-07-24 16:00:00,United Kingdom,GBP,High Volatility Expected,,,,u.k.-prime-minister-may-speaks-1695,Prime Minister May Speaks
390501,1756.0,Turkish Late Liquidity Window Rate,2019-07-25 11:00:00,Turkey,TRY,Moderate Volatility Expected,19.75%,,24.00%,turkish-late-liquidity-window-rate-1756,Late Liquidity Window Rate
390906,1750.0,French GDP,2019-07-31 06:45:00,France,EUR,Moderate Volatility Expected,1.1%,1.3%,1.2%,french-gdp-1750,Gross Domestic Product (GDP)
391118,1674.0,IEA Monthly Report,2019-08-09 08:00:00,United States,USD,Moderate Volatility Expected,,,,iea-monthly-report-1674,International Energy Agency (IEA) Monthly Oil Market Report
391457,1798.0,CPIH,2019-08-14 08:30:00,United Kingdom,GBP,Moderate Volatility Expected,2.0%,1.8%,1.9%,cpih-1798,Consumer Prices Index Including Owner Occupiers’ Housing Costs (CPIH)
391829,289.0,Adjusted Trade Balance,2019-08-18 23:50:00,Japan,JPY,Moderate Volatility Expected,-0.13T,-0.15T,-0.03T,adjusted-trade-balance-289,Adjusted Trade Balance
391866,1677.0,Jackson Hole Symposium,2019-08-24 16:30:00,United States,USD,Moderate Volatility Expected,,,,jackson-hole-symposium-1677,Jackson Hole Symposium
392348,1737.0,BoJ Board Member Suzuki Speaks,2019-08-29 01:30:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-suzuki-speaks-1737,Board Member Suzuki Speaks
392391,1771.0,PCE Deflator,2019-08-30 12:30:00,United States,USD,Moderate Volatility Expected,0.2%,,0.1%,pce-deflator-1771,PCE Deflator
392392,1772.0,PCE Deflator,2019-08-30 12:30:00,United States,USD,Moderate Volatility Expected,1.4%,,1.3%,pce-deflator-1772,PCE Prices
392683,1751.0,Cap Goods Ship Non Defense Ex Air,2019-09-05 14:00:00,United States,USD,Moderate Volatility Expected,-0.6%,,-0.7%,cap-goods-ship-non-defense-ex-air-1751,Capital Goods Ship Non Defense ex Air
393640,313.0,House Price Index,2019-09-18 08:30:00,United Kingdom,GBP,Low Volatility Expected,0.7%,,0.9%,house-price-index-313,House Price Index
393999,1962.0,UK Supreme Court Decision,2019-09-24 09:30:00,United Kingdom,GBP,Moderate Volatility Expected,,,,uk-supreme-court-decision-1962,Supreme Court Decision
382922,1832.0,SARB Monetary Policy Review,2019-10-01 08:00:00,South Africa,ZAR,Moderate Volatility Expected,,,,sarb-monetary-policy-review-1832, Reserve Bank Monetary Policy Review 
394266,1733.0,BOJ Board Member Funo Speaks,2019-10-03 01:00:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-funo-speaks-1733,Board Member Funo Speaks
394496,1921.0,U.K. Prime Minister Johnson Speaks,2019-10-03 10:30:00,United Kingdom,GBP,High Volatility Expected,,,,u.k.-prime-minister-johnson-speaks-1921,Prime Minister Boris Johnson Speaks
378790,1824.0,BOK Financial Stability Board Meeting Minutes,2019-10-11 01:00:00,South Korea,KRW,Moderate Volatility Expected,,,,bok-financial-stability-board-meeting-minutes-1824,Financial Stability Board Meeting Minutes
395163,1770.0,BoE Deputy Governor Woods Speaks,2019-10-15 08:30:00,United Kingdom,GBP,Moderate Volatility Expected,,,,boe-deputy-governor-woods-speaks-1770,Deputy Governor Woods Speaks
395577,1964.0,Canadian Federal Election,2019-10-21 00:00:00,Canada,CAD,Moderate Volatility Expected,,,,canadian-federal-election-1964,Canadian Federal Election
382869,1843.0,ECB Bank Lending Survey,2019-10-22 08:00:00,Euro Zone,EUR,Low Volatility Expected,,,,ecb-bank-lending-survey-1843,ECB Bank Lending Survey
387292,1869.0,BSP Inflation Report Press Conference,2019-10-25 02:00:00,Philippines,PHP,Low Volatility Expected,,,,bsp-inflation-report-press-conference-1869,Bangko Sentral ng Pilipinas Inflation Report Press Conference
395885,565.0,ECB President Draghi Speaks,2019-10-28 15:00:00,Euro Zone,EUR,High Volatility Expected,,,,ecb-president-draghi-speaks-565,European Central Bank President Draghi Speaks
394804,1234.0,Budget Balance,2019-10-30 12:00:00,South Africa,ZAR,Low Volatility Expected,-5.90%,-3.90%,-4.20%,budget-balance-1234,Budget Balance
395889,1703.0,ECB's Lautenschlaeger Speaks,2019-10-30 17:30:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-lautenschlaeger-speaks-1703,European Central Bank Lautenschlaeger Speaks
379532,1805.0,CBRT Inflation Report,2019-10-31 07:30:00,Turkey,TRY,Moderate Volatility Expected,,,,cbrt-inflation-report-1805,Inflation Report
395891,573.0,SNB Chairman Thomas Jordan speaks,2019-10-31 15:30:00,Switzerland,CHF,Moderate Volatility Expected,,,,snb-chairman-thomas-jordan-speaks-573,speaks
396709,1841.0,Spanish General Election,2019-11-10 10:00:00,Spain,EUR,Moderate Volatility Expected,,,,spanish-general-election-1841,Spanish General Election
396842,1966.0,BRICS Summit,2019-11-14 00:00:00,Brazil,BRL,Moderate Volatility Expected,,,,brics-summit-1966,BRICS Summit
396067,484.0,MBA Delinquency Rates,2019-11-14 16:00:00,United States,USD,Low Volatility Expected,3.97%,,4.53%,mba-delinquency-rates-484,MBA Delinquency Rates
396621,1729.0,SNB Gov Board Member Maechler Speaks,2019-11-14 17:30:00,Switzerland,CHF,Moderate Volatility Expected,,,,snb-gov-board-member-maechler-speaks-1729,Swiss National Bank Governor Board Member Maechler Speaks
396915,1142.0,RBA Assist Gov Kent Speaks,2019-11-18 22:05:00,Australia,AUD,Moderate Volatility Expected,,,,rba-assist-gov-kent-speaks-1142,Assistant Governor Kent Speaks
397152,1866.0,ECB Hakkarainen Speaks,2019-11-19 08:30:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb-hakkarainen-speaks-1866,Member of the Supervisory Board (ECB representative) Pentti Hakkarainen Speaks
396865,1865.0,ECB Financial Stability Review,2019-11-20 09:00:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb-financial-stability-review-1865,ECB Financial Stability Review
395267,1859.0,Treasury Department Report,2019-11-22 22:00:00,United States,USD,Moderate Volatility Expected,,,,treasury-department-report-1859,US Treasury Department Report
397205,64.0,Core Retail Sales,2019-11-25 21:45:00,New Zealand,NZD,Moderate Volatility Expected,1.8%,,0.3%,core-retail-sales-64, Retail Sales
397211,1809.0,RBNZ Financial Stability Report,2019-11-26 19:00:00,New Zealand,NZD,Moderate Volatility Expected,,,,rbnz-financial-stability-report-1809,RBNZ Financial Stability Report
397577,1779.0,BoJ Board Member Sakurai Speaks,2019-11-27 01:30:00,Japan,JPY,Low Volatility Expected,,,,boj-board-member-sakurai-speaks-1779,BoJ Board Member Sakurai Speaks
379534,1806.0,CBRT Financial Stability Report,2019-11-29 11:00:00,Turkey,TRY,Moderate Volatility Expected,,,,cbrt-financial-stability-report-1806,Financial Stability Report
397916,1734.0,BOJ Board Member Harada Speaks,2019-12-05 01:30:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-harada-speaks-1734,Board Member Harada Speaks
387270,1867.0,BSP Advisory Committee Meeting,2019-12-06 02:00:00,Philippines,PHP,Low Volatility Expected,,,,bsp-advisory-committee-meeting-1867,Bangko Sentral ng Pilipinas Advisory Committee Meeting
398009,1749.0,Mid-Year Economic and Fiscal Outlook,2019-12-10 00:30:00,Australia,AUD,High Volatility Expected,,,,mid-year-economic-and-fiscal-outlook-1749,Mid-Year Economic and Fiscal Outlook
398219,1721.0,RBA Assist Gov Bullock Speaks,2019-12-10 02:45:00,Australia,AUD,Moderate Volatility Expected,,,,rba-assist-gov-bullock-speaks-1721,Assist Governor Bullock Speaks
397239,1941.0,Interest Rate Projection - 3rd Yr,2019-12-11 19:00:00,United States,USD,Moderate Volatility Expected,2.1,,2.4,interest-rate-projection---3rd-yr-1941,Federal Funds Rate (FFR) Projection - 3rd Year
397242,1943.0,Interest Rate Projection - Current,2019-12-11 19:00:00,United States,USD,Moderate Volatility Expected,1.6,,1.9,interest-rate-projection---current-1943,Federal Funds Rate (FFR) Projection - Current
397240,1942.0,Interest Rate Projection - Longer,2019-12-11 19:00:00,United States,USD,Moderate Volatility Expected,2.5,,2.5,interest-rate-projection---longer-1942,Federal Funds Rate (FFR) Projection - Longer Term
387283,1868.0,BSP Monetary Board Highlights Publication,2019-12-12 02:00:00,Philippines,PHP,Low Volatility Expected,,,,bsp-monetary-board-highlights-publication-1868,Bangko Sentral ng Pilipinas Monetary Board Highlights Publication
398022,1688.0,SNB Press Conference,2019-12-12 09:00:00,Switzerland,CHF,High Volatility Expected,,,,snb-press-conference-1688,Swiss National Bank Press Conference
397926,1709.0,U.K. General Election,2019-12-12 10:00:00,United Kingdom,GBP,High Volatility Expected,,,,u.k.-general-election-1709,General Election
382920,1830.0,SARB Quarterly Bulletin,2019-12-13 08:00:00,South Africa,ZAR,Low Volatility Expected,,,,sarb-quarterly-bulletin-1830, Reserve Bank Quarterly Bulletin
398158,1644.0,Euro Summit,2019-12-13 10:00:00,Euro Zone,EUR,Moderate Volatility Expected,,,,euro-summit-1644,Euro Summit
398603,1702.0,ECB's Coeure Speaks,2019-12-18 11:15:00,Euro Zone,EUR,Moderate Volatility Expected,,,,ecb's-coeure-speaks-1702,European Central Bank Coeure Speaks
390222,1783.0,BCB Inflation Report,2019-12-19 12:00:00,Brazil,BRL,Low Volatility Expected,,,,bcb-inflation-report-1783,Inflation Report
390220,1786.0,BCB National Monetary Council Meeting,2019-12-19 12:00:00,Brazil,BRL,Moderate Volatility Expected,,,,bcb-national-monetary-council-meeting-1786,BCB National Monetary Council Meeting
378231,1817.0,NBP Monetary Policy Meeting Minutes,2019-12-19 13:00:00,Poland,PLN,Moderate Volatility Expected,,,,nbp-monetary-policy-meeting-minutes-1817,Central Bank Monetary Policy Meeting Minutes
398712,1037.0,5-Year TIPS Auction,2019-12-19 16:30:00,United States,USD,Low Volatility Expected,0.020%,,0.054%,5-year-tips-auction-1037,5-Year TIPS Auction
379310,1833.0,CBR Monetary Policy Meeting Minutes,2019-12-23 12:00:00,Russia,RUB,Moderate Volatility Expected,,,,cbr-monetary-policy-meeting-minutes-1833,Monetary Policy Meeting Minutes
378780,1823.0,BOK Financial Stability Board Meeting,2019-12-26 01:00:00,South Korea,KRW,Moderate Volatility Expected,,,,bok-financial-stability-board-meeting-1823,Financial Stability Board Meeting
403697,1826.0,RBI Financial Stability Report,2019-12-27 04:30:00,India,INR,Moderate Volatility Expected,,,,rbi-financial-stability-report-1826,Financial Stability Report
399259,1084.0,PBoC Reserve Requirement Ratio,2020-01-01 07:07:00,China,CNY,Moderate Volatility Expected,12.50%,,13.00%,pboc-reserve-requirement-ratio-1084,Reserve Requirement Ratio
399914,1701.0,BoE MPC Member Saunders Speaks,2020-01-15 08:40:00,United Kingdom,GBP,Moderate Volatility Expected,,,,boe-mpc-member-saunders-speaks-1701,(BoE) Monetary Policy Committee (MPC) Member Saunders Speaks
399304,1470.0,German GDP Annual,2020-01-15 09:00:00,Germany,EUR,Low Volatility Expected,0.60%,0.60%,1.50%,german-gdp-annual-1470,Gross Domestic Product (GDP) Annual
400174,1969.0,World Economic Forum Annual Meetings,2020-01-24 08:00:00,Switzerland,CHF,Moderate Volatility Expected,,,,world-economic-forum-annual-meetings-1969,World Economic Forum Annual Meetings
400140,9.0,Gross Mortgage Approvals,2020-01-27 09:30:00,United Kingdom,GBP,Moderate Volatility Expected,46.8K,,44.1K,gross-mortgage-approvals-9,Gross Mortgage Approvals
399541,1955.0,OPEC Crude Oil Production Ecuador,2020-01-31 11:25:00,United States,USD,Moderate Volatility Expected,0.54M,,0.50M,opec-crude-oil-production-ecuador-1955,(Barrel)
400685,1970.0,Indian Union Budget,2020-02-01 06:00:00,India,INR,Moderate Volatility Expected,,,,indian-union-budget-1970, Union Budget
401018,1453.0,GDP Annual,2020-02-05 04:00:00,Indonesia,IDR,Low Volatility Expected,5.02%,5.03%,5.17%,gdp-annual-1453,GDP Annual
401021,1269.0,Interest Rate Decision,2020-02-05 08:55:00,Iceland,ISK,Low Volatility Expected,2.75%,,3.00%,interest-rate-decision-1269,Interest Rate Decision
401027,1727.0,BoC Gov Council Member Wilkins Speaks,2020-02-05 17:30:00,Canada,CAD,Moderate Volatility Expected,,,,boc-gov-council-member-wilkins-speaks-1727,Governor Council Member Wilkins Speaks
400908,384.0,NAB Quarterly Business Confidence,2020-02-06 00:30:00,Australia,AUD,Moderate Volatility Expected,-1,,-1,nab-quarterly-business-confidence-384,Bank Quarterly Business Confidence
401162,1789.0,BoJ Board Member Masai Speaks,2020-02-06 01:30:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-masai-speaks-1789,Board Member Takako Masai Speaks
400181,811.0,Construction Output,2020-02-06 08:00:00,Czech Republic,CZK,Low Volatility Expected,6.3%,,4.5%,construction-output-811,Republic Construction Output
401555,1533.0,Payrolls Benchmark,2020-02-07 13:30:00,United States,USD,Low Volatility Expected,-514.00,,-1.00,payrolls-benchmark-1533,Payrolls Benchmark
401554,1534.0,"Payrolls Benchmark, n.s.a.",2020-02-07 13:30:00,United States,USD,Low Volatility Expected,-505.00K,,-16.00K,"payrolls-benchmark,-n.s.a.-1534","Payrolls Benchmark, n.s.a."
401569,1835.0,FOMC Member Bowman Speaks,2020-02-10 13:15:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-bowman-speaks-1835,Federal Open Market Committee (FOMC) Member Michelle W. Bowman Speaks
401715,1802.0,FOMC Member Daly Speaks,2020-02-11 11:00:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-daly-speaks-1802,Federal Open Market Committee (FOMC) Member Mary Daly Speaks
401573,1782.0,MPC Member Haskel Speaks,2020-02-11 17:00:00,United Kingdom,GBP,Moderate Volatility Expected,,,,mpc-member-haskel-speaks-1782,(BoE) Monetary Policy Committee (MPC) Member Haskel Speaks
401586,1739.0,Fed Chair Powell Testifies,2020-02-12 15:00:00,United States,USD,High Volatility Expected,,,,fed-chair-powell-testifies-1739,Fed Chair Powell Testifies
401863,1455.0,GDP Annual,2020-02-17 03:51:00,Thailand,THB,Low Volatility Expected,2.40%,,4.20%,gdp-annual-1455,GDP Annual
402258,1040.0,30-Year TIPS Auction,2020-02-20 18:00:00,United States,USD,Low Volatility Expected,0.261%,,0.501%,30-year-tips-auction-1040,30-Year TIPS Auction
402254,1775.0,FOMC Member Barkin Speaks,2020-02-20 18:20:00,United States,USD,Low Volatility Expected,,,,fomc-member-barkin-speaks-1775,Federal Open Market Committee (FOMC) Member Thomas Barkin Speaks
401856,1651.0,FOMC Member Brainard Speaks,2020-02-21 15:15:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-brainard-speaks-1651,FOMC Member Brainard Speaks
402260,1256.0,GDP,2020-02-24 07:00:00,Nigeria,NGN,Low Volatility Expected,2.55%,,2.28%,gdp-1256,a Gross Domestic Product (GDP)
402480,1498.0,Oil Production,2020-02-24 07:00:00,Nigeria,NGN,Low Volatility Expected,2.000M,,2.040M,oil-production-1498,a Oil Production
402259,1875.0,Nigeria GDP,2020-02-24 08:00:00,Nigeria,NGN,Low Volatility Expected,5.6%,,9.2%,nigeria-gdp-1875,a Gross Domestic Product (GDP)
402197,394.0,Corporate Profits,2020-02-25 13:30:00,Canada,CAD,Low Volatility Expected,3.6%,,0.4%,corporate-profits-394,Corporate Profits
402408,1725.0,BoC Gov Council Member Lane Speaks,2020-02-25 17:15:00,Canada,CAD,Moderate Volatility Expected,,,,boc-gov-council-member-lane-speaks-1725,Governor Council Member Lane Speaks
402407,1803.0,FOMC Member Clarida Speaks,2020-02-25 20:00:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-clarida-speaks-1803,Federal Open Market Committee (FOMC) Member Richard Clarida Speaks
402412,1769.0,BoJ Board Member Kataoka Speaks,2020-02-27 01:30:00,Japan,JPY,Moderate Volatility Expected,,,,boj-board-member-kataoka-speaks-1769,BoJ Board Member Kataoka Speaks
402413,1794.0,BOJ Deputy Governor Amamiya Speaks,2020-02-27 05:00:00,Japan,JPY,Moderate Volatility Expected,,,,boj-deputy-governor-amamiya-speaks-1794,Deputy Governor Masayoshi Amamiya Speaks
403691,1829.0,RBI Monetary and Credit Information Review,2020-02-28 04:30:00,India,INR,Moderate Volatility Expected,,,,rbi-monetary-and-credit-information-review-1829,Monetary and Credit Information Review
402393,446.0,GDP,2020-02-28 09:00:00,Poland,PLN,Moderate Volatility Expected,3.2%,3.1%,3.9%,gdp-446,Gross Domestic Product (GDP)
401521,977.0,GDP Annual,2020-02-28 12:00:00,India,INR,Low Volatility Expected,5.0%,,6.1%,gdp-annual-977,Gross Domestic Product (GDP) Annual
402422,1134.0,BoE MPC Member Cunliffe Speaks,2020-02-28 16:15:00,United Kingdom,GBP,Moderate Volatility Expected,,,,boe-mpc-member-cunliffe-speaks-1134,(BoE) Monetary Policy Committee (MPC) Member Cunliffe Speaks
401707,600.0,GDP Annualized,2020-03-03 09:30:00,South Africa,ZAR,Moderate Volatility Expected,-1.4%,-0.1%,-0.8%,gdp-annualized-600,Gross Domestic Product (GDP) Annualized
401708,1183.0,GDP,2020-03-03 09:30:00,South Africa,ZAR,Low Volatility Expected,-0.5%,-0.1%,0.1%,gdp-1183,Gross Domestic Product (GDP)
402611,216.0,BoE MPC Treasury Committee Hearings,2020-03-04 10:45:00,United Kingdom,GBP,High Volatility Expected,,,,boe-mpc-treasury-committee-hearings-216,(BoE) Monetary Policy Committee (MPC) Treasury Committee Hearings
402913,1135.0,BoE MPC Member Broadbent Speaks,2020-03-04 18:00:00,United Kingdom,GBP,Moderate Volatility Expected,,,,boe-mpc-member-broadbent-speaks-1135,(BoE) Monetary Policy Committee (MPC) Member Broadbent Speaks
401813,1246.0,Current Account,2020-03-05 09:00:00,South Africa,ZAR,Low Volatility Expected,-68.1B,-160.8B,-188.1B,current-account-1246,Current Account
401814,1352.0,Current Account % of GDP,2020-03-05 09:00:00,South Africa,ZAR,Low Volatility Expected,-1.30%,-3.50%,-3.70%,current-account-%-of-gdp-1352,Current Account % of Gross Domestic Product (GDP)
402748,1376.0,Latvian Current Account % of GDP,2020-03-05 09:45:00,Latvia,EUR,Low Volatility Expected,-0.30%,,-3.70%,latvian-current-account-%-of-gdp-1376,Current Account % of Gross Domestic Product (GDP)
402797,1699.0,BoE MPC Member Haldane Speaks,2020-03-05 13:00:00,United Kingdom,GBP,Moderate Volatility Expected,,,,boe-mpc-member-haldane-speaks-1699,(BoE) Monetary Policy Committee (MPC) Member Haldane Speaks
402798,1034.0,BoE Gov Carney Speaks,2020-03-05 17:00:00,United Kingdom,GBP,High Volatility Expected,,,,boe-gov-carney-speaks-1034,Governor Carney Speaks
401904,449.0,Greek GDP,2020-03-06 10:00:00,Greece,EUR,Low Volatility Expected,1.0%,,2.3%,greek-gdp-449,Gross Domestic Product (GDP)
402875,448.0,Irish GDP,2020-03-06 11:00:00,Ireland,EUR,Low Volatility Expected,6.2%,,4.5%,irish-gdp-448,Gross Domestic Product (GDP)
402874,1626.0,Irish GDP,2020-03-06 11:00:00,Ireland,EUR,Low Volatility Expected,1.8%,,2.1%,irish-gdp-1626,Gross Domestic Product (GDP)
402876,1627.0,Irish GNP,2020-03-06 11:00:00,Ireland,EUR,Low Volatility Expected,2.3%,,9.5%,irish-gnp-1627,Ireland Gross National Product (GNP)
402877,1480.0,Irish GNP,2020-03-06 11:00:00,Ireland,EUR,Low Volatility Expected,10.1%,,-0.7%,irish-gnp-1480,Ireland Gross National Product (GNP)
402911,839.0,FOMC Member Rosengren Speaks,2020-03-06 19:00:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-rosengren-speaks-839,Federal Open Market Committee (FOMC) Member Rosengren Speaks
402912,1664.0,FOMC Member George Speaks,2020-03-06 20:30:00,United States,USD,Moderate Volatility Expected,,,,fomc-member-george-speaks-1664,FOMC Member George Speaks
402077,1247.0,Current Account,2020-03-09 08:30:00,Sweden,SEK,Low Volatility Expected,38.8B,,65.0B,current-account-1247,Current Account
402094,206.0,Manufacturing Sales Volume,2020-03-09 21:45:00,New Zealand,NZD,Low Volatility Expected,2.7%,,-0.3%,manufacturing-sales-volume-206,Manufacturing Sales Volume
402105,1357.0,Estonian Current Account % of GDP,2020-03-10 06:00:00,Estonia,EUR,Low Volatility Expected,0.60%,,3.20%,estonian-current-account-%-of-gdp-1357,Current Account % of Gross Domestic Product (GDP)
402516,1505.0,Norges Bank regional network Survey,2020-03-10 09:00:00,Norway,NOK,Low Volatility Expected,0.83,,0.96,norges-bank-regional-network-survey-1505,Norges Bank regional network Survey
402132,924.0,Employment Change,2020-03-10 10:00:00,Euro Zone,EUR,Low Volatility Expected,1.1%,1.0%,1.1%,employment-change-924,Eurozone Employment Change
403147,1141.0,RBA Assist Gov Debelle Speaks,2020-03-10 22:00:00,Australia,AUD,Moderate Volatility Expected,,,,rba-assist-gov-debelle-speaks-1141,Assistant Governor Debelle Speaks
403686,1828.0,RBI Monthly Bulletin,2020-03-11 04:30:00,India,INR,Low Volatility Expected,,,,rbi-monthly-bulletin-1828,Monthly Bulletin
403388,1767.0,BoE Press Conference,2020-03-11 09:00:00,United Kingdom,GBP,High Volatility Expected,,,,boe-press-conference-1767,Press Conference
403362,1422.0,Greek Credit Expansion,2020-03-11 10:00:00,Greece,EUR,Low Volatility Expected,-1.4%,,-0.8%,greek-credit-expansion-1422,Credit Expansion
402173,376.0,Capacity Utilization Rate,2020-03-11 12:30:00,Canada,CAD,Low Volatility Expected,81.2%,80.7%,81.5%,capacity-utilization-rate-376,Capacity Utilization Rate
402205,21.0,BSI Large Manufacturing Conditions,2020-03-11 23:50:00,Japan,JPY,Moderate Volatility Expected,-17.2,,-7.8,bsi-large-manufacturing-conditions-21,BSI Large Manufacturing Conditions
403060,183.0,Italian Quarterly Unemployment Rate,2020-03-12 09:00:00,Italy,EUR,Low Volatility Expected,9.7%,,9.8%,italian-quarterly-unemployment-rate-183,Quarterly Unemployment Rate
402223,1529.0,Greek Quarterly Unemployment Rate,2020-03-12 10:00:00,Greece,EUR,Low Volatility Expected,16.8%,,16.4%,greek-quarterly-unemployment-rate-1529,Quarterly Unemployment Rate
403434,1339.0,Balance of Payments,2020-03-12 11:30:00,India,INR,Low Volatility Expected,21.600B,,5.100B,balance-of-payments-1339,Balance of Payments (USD)
403435,1346.0,Current Account % of GDP,2020-03-12 11:30:00,India,INR,Low Volatility Expected,-0.20%,,-0.90%,current-account-%-of-gdp-1346,Current Account % of GDP 
403433,974.0,Current Account,2020-03-12 11:30:00,India,INR,Low Volatility Expected,-1.40B,,-6.30B,current-account-974,Current Account (USD)
403436,1392.0,Trade Balance,2020-03-12 11:30:00,India,INR,Low Volatility Expected,-34.600B,,-38.100B,trade-balance-1392,Trade Balance (USD)
403263,357.0,Westpac Consumer Sentiment,2020-03-16 20:00:00,New Zealand,NZD,Moderate Volatility Expected,104.2,,109.9,westpac-consumer-sentiment-357,Westpac Consumer Sentiment
402502,147.0,House Price Index,2020-03-17 00:30:00,Australia,AUD,Moderate Volatility Expected,3.9%,3.9%,2.4%,house-price-index-147,House Price Index (HPI)
